JobID,startTime,endtime,JobCompletionTime
0,1607063563.355638,1607063569.4367511,6.08111310005188
1,1607063566.3611846,1607063572.4616694,6.100484848022461
2,1607063569.3689609,1607063576.4773095,7.108348608016968
3,1607063572.3760674,1607063578.4054399,6.029372453689575
4,1607063575.380166,1607063581.4144723,6.034306287765503
5,1607063578.388175,1607063585.4910052,7.102830171585083
6,1607063581.397476,1607063587.4308434,6.033367395401001
7,1607063584.4051495,1607063591.501633,7.096483469009399
8,1607063587.4127843,1607063593.4528825,6.040098190307617
9,1607063590.418502,1607063597.4812825,7.062780380249023
10,1607063593.422265,1607063600.534531,7.1122660636901855
11,1607063596.426049,1607063602.4640534,6.038004398345947
12,1607063599.4395807,1607063605.4700634,6.030482769012451
13,1607063602.4418902,1607063609.6375055,7.195615291595459
14,1607063605.4453428,1607063612.666253,7.220910310745239
15,1607063608.4548903,1607063614.4967167,6.041826486587524
16,1607063611.4626484,1607063617.5004263,6.037777900695801
17,1607063614.4602664,1607063621.619051,7.158784627914429
18,1607063617.4677002,1607063624.593073,7.125372648239136
19,1607063620.4759638,1607063627.647472,7.171508073806763
