WorkerID,taskID,startTime,endTime,TaskCompletionTime
3,7_M0,1607063584.4052088,1607063587.412156,3.0069472789764404
1,7_M1,1607063584.405526,1607063587.4166715,3.01114559173584
1,7_M4,1607063584.4063904,1607063587.419162,3.0127716064453125
3,7_M3,1607063584.40613,1607063587.422823,3.016692876815796
2,7_M2,1607063584.4059076,1607063587.4248397,3.0189321041107178
3,6_R1,1607063584.420302,1607063587.4268267,3.0065248012542725
2,6_R0,1607063584.4160483,1607063587.42728,3.0112316608428955
1,6_R2,1607063584.4233892,1607063587.427599,3.0042097568511963
1,6_R4,1607063584.4260123,1607063587.4303937,3.0043814182281494
2,6_R3,1607063584.4254208,1607063587.4308434,3.005422592163086
1,8_M2,1607063587.4177163,1607063590.4234374,3.005721092224121
1,8_M4,1607063587.418391,1607063590.4300265,3.0116355419158936
2,8_M0,1607063587.4128692,1607063590.4327042,3.0198349952697754
3,8_M1,1607063587.417275,1607063590.4359205,3.0186455249786377
3,7_R1,1607063587.4286108,1607063590.4373193,3.0087084770202637
1,7_R2,1607063587.4294024,1607063590.4380946,3.0086922645568848
2,8_M3,1607063587.4179416,1607063590.4386256,3.020684003829956
2,7_R0,1607063587.4265394,1607063590.4404135,3.013874053955078
3,7_R4,1607063588.4808638,1607063591.486203,3.0053391456604004
2,7_R3,1607063587.4315236,1607063591.501633,4.0701093673706055
1,9_M0,1607063590.4185286,1607063593.4274373,3.008908748626709
2,9_M1,1607063590.4209256,1607063593.430315,3.0093894004821777
1,9_M2,1607063590.4212065,1607063593.4323223,3.011115789413452
2,9_M3,1607063590.42136,1607063593.4357958,3.0144357681274414
3,8_R0,1607063590.4399765,1607063593.4434605,3.003484010696411
1,8_R1,1607063590.4423015,1607063593.445838,3.0035364627838135
2,8_R2,1607063590.4440775,1607063593.4465938,3.002516269683838
3,8_R3,1607063590.4451652,1607063593.4491045,3.003939390182495
1,8_R4,1607063590.446138,1607063593.4528825,3.006744623184204
2,9_M4,1607063590.4214869,1607063594.4449105,4.023423671722412
3,10_M1,1607063593.4227707,1607063596.4278302,3.0050594806671143
1,10_M2,1607063593.423054,1607063596.4383254,3.0152714252471924
2,10_M0,1607063593.4223175,1607063596.4387546,3.01643705368042
2,10_M3,1607063593.4232287,1607063596.4390588,3.0158300399780273
2,10_M4,1607063593.4233732,1607063596.4398553,3.01648211479187
3,9_R0,1607063594.445799,1607063597.4608476,3.0150485038757324
1,9_R1,1607063594.4507945,1607063597.4612305,3.0104360580444336
3,9_R3,1607063594.45897,1607063597.4642565,3.005286455154419
2,9_R2,1607063594.455447,1607063597.4751809,3.0197339057922363
1,9_R4,1607063594.4633348,1607063597.4812825,3.0179476737976074
2,11_M0,1607063596.4260812,1607063599.4277337,3.001652479171753
3,11_M3,1607063596.4279027,1607063599.4400525,3.0121498107910156
1,11_M1,1607063596.4263244,1607063599.4423482,3.016023874282837
2,11_M2,1607063596.427458,1607063599.4434566,3.015998601913452
2,10_R0,1607063596.4422045,1607063599.4452124,3.0030078887939453
1,11_M4,1607063596.428632,1607063599.445641,3.0170090198516846
1,10_R1,1607063596.444091,1607063599.447378,3.003286838531494
2,10_R2,1607063596.4448621,1607063599.4486141,3.0037519931793213
2,10_R3,1607063596.445133,1607063599.4538314,3.0086984634399414
2,10_R4,1607063596.4454358,1607063600.534531,4.0890953540802
3,12_M0,1607063599.4396129,1607063602.442972,3.003359079360962
2,12_M2,1607063599.440799,1607063602.44545,3.0046510696411133
3,12_M3,1607063599.4410775,1607063602.4497485,3.0086710453033447
1,12_M1,1607063599.4404283,1607063602.4502642,3.009835958480835
1,12_M4,1607063599.441291,1607063602.4509327,3.009641647338867
2,11_R0,1607063599.4470308,1607063602.4592943,3.012263536453247
3,11_R1,1607063599.4537148,1607063602.4598477,3.0061328411102295
1,11_R2,1607063599.456769,1607063602.4602375,3.0034685134887695
2,11_R3,1607063599.4579897,1607063602.4635544,3.0055646896362305
1,11_R4,1607063599.4596753,1607063602.4640534,3.004378080368042
1,13_M1,1607063602.4422941,1607063605.4589622,3.0166680812835693
2,13_M0,1607063602.4419289,1607063605.461866,3.019937038421631
3,12_R0,1607063602.458991,1607063605.4629765,3.0039854049682617
2,13_M2,1607063602.4425051,1607063605.464382,3.021876811981201
1,12_R1,1607063602.4618533,1607063605.4658072,3.0039539337158203
1,12_R4,1607063602.4652042,1607063605.4691608,3.0039565563201904
2,12_R2,1607063602.462236,1607063605.4696403,3.007404327392578
3,12_R3,1607063602.4633024,1607063605.4700634,3.006761074066162
2,13_M3,1607063602.4427018,1607063606.5423648,4.099663019180298
2,13_M4,1607063603.531523,1607063606.5753968,3.0438737869262695
1,14_M1,1607063605.4459176,1607063608.4503465,3.0044288635253906
2,14_M2,1607063605.4462392,1607063608.4585629,3.0123236179351807
1,14_M3,1607063605.4464602,1607063608.4667106,3.0202503204345703
3,14_M0,1607063605.4453812,1607063608.4673622,3.0219810009002686
2,14_M4,1607063605.4466524,1607063608.4694169,3.0227644443511963
1,13_R1,1607063606.5782642,1607063609.590998,3.0127336978912354
