JobID,startTime,endtime,JobCompletionTime
1,1607061673.7643607,1607061675.7967477,2.0323870182037354
0,1607061673.2980545,1607061677.3139052,4.015850782394409
5,1607061676.641491,1607061681.6557276,5.014236688613892
4,1607061676.6410112,1607061681.671391,5.030379772186279
2,1607061674.5741515,1607061682.6291158,8.054964303970337
3,1607061675.6063406,1607061683.6299157,8.023575067520142
6,1607061681.091612,1607061686.105619,5.014006853103638
7,1607061681.2641423,1607061688.312414,7.048271656036377
8,1607061683.2281787,1607061689.2430518,6.014873027801514
11,1607061685.0546868,1607061690.0705,5.015813112258911
10,1607061684.4961636,1607061690.5147097,6.018546104431152
14,1607061689.3661487,1607061691.379711,2.0135622024536133
9,1607061683.8756812,1607061691.8983896,8.022708415985107
12,1607061686.0865824,1607061692.100932,6.014349460601807
13,1607061687.397295,1607061693.450036,6.052741050720215
16,1607061690.3909197,1607061694.404661,4.0137412548065186
18,1607061691.9552066,1607061694.9684308,3.0132241249084473
15,1607061690.3802333,1607061695.480791,5.100557804107666
19,1607061692.3481388,1607061697.3655605,5.017421722412109
17,1607061690.869888,1607061697.8906038,7.020715713500977
20,1607061694.6106763,1607061698.6208024,4.010126113891602
21,1607061694.672357,1607061700.6973112,6.024954080581665
23,1607061695.7049358,1607061700.7189126,5.013976812362671
25,1607061696.8526165,1607061700.8793762,4.026759624481201
24,1607061695.9600215,1607061700.972171,5.0121495723724365
22,1607061695.2488887,1607061701.2658458,6.01695704460144
26,1607061697.8508015,1607061704.8960156,7.0452141761779785
29,1607061701.607373,1607061707.7025726,6.0951995849609375
27,1607061698.8815126,1607061707.949965,9.06845235824585
31,1607061703.3141148,1607061708.3433719,5.02925705909729
32,1607061703.7511995,1607061708.797705,5.046505451202393
28,1607061699.9304748,1607061708.975923,9.045448303222656
30,1607061702.144411,1607061710.171251,8.026839971542358
33,1607061704.1568794,1607061710.3501399,6.193260431289673
35,1607061707.4283164,1607061711.4583373,4.0300209522247314
36,1607061707.8778172,1607061712.9001536,5.022336483001709
34,1607061705.2014875,1607061713.239383,8.037895441055298
38,1607061708.4414697,1607061713.9963255,5.554855823516846
37,1607061707.9531348,1607061714.4895458,6.5364110469818115
39,1607061709.6583607,1607061714.6677706,5.0094099044799805
40,1607061709.6791518,1607061715.9117043,6.232552528381348
43,1607061713.0530586,1607061717.0807652,4.027706623077393
44,1607061713.186093,1607061717.2029262,4.016833066940308
46,1607061713.8092358,1607061717.8232696,4.014033794403076
47,1607061714.7366447,1607061718.7508337,4.014189004898071
41,1607061710.9674792,1607061719.003787,8.03630781173706
42,1607061712.7685533,1607061719.796985,7.02843165397644
48,1607061715.0431798,1607061720.1610339,5.117854118347168
45,1607061713.237056,1607061720.2568467,7.0197906494140625
49,1607061716.3827965,1607061721.410667,5.027870416641235
52,1607061719.3132145,1607061724.3693686,5.056154012680054
50,1607061718.3503714,1607061724.3948267,6.044455289840698
51,1607061718.6517766,1607061725.6824272,7.030650615692139
53,1607061719.7999578,1607061726.8269138,7.026956081390381
54,1607061721.6298652,1607061727.761771,6.131905794143677
57,1607061723.329034,1607061729.8682477,6.53921365737915
55,1607061722.138417,1607061730.2252884,8.08687138557434
56,1607061722.6713572,1607061730.226048,7.554690837860107
58,1607061723.963088,1607061731.673973,7.710885047912598
59,1607061724.2220187,1607061731.7092679,7.487249135971069
62,1607061726.164,1607061731.744609,5.580609083175659
60,1607061724.5759125,1607061732.8351817,8.25926923751831
63,1607061726.1660914,1607061732.9281533,6.762061834335327
61,1607061725.60916,1607061733.3136628,7.704502820968628
64,1607061727.4409637,1607061734.7168581,7.275894403457642
65,1607061728.2899148,1607061734.7829149,6.493000030517578
68,1607061731.415933,1607061736.4437892,5.027856349945068
67,1607061730.8263648,1607061736.8590772,6.032712459564209
69,1607061731.4670973,1607061737.5692184,6.102121114730835
66,1607061730.065458,1607061738.2386441,8.17318606376648
70,1607061732.9553266,1607061740.9727473,8.017420768737793
73,1607061736.3459506,1607061741.4637926,5.117841958999634
72,1607061735.5128584,1607061741.6312017,6.118343353271484
71,1607061734.48974,1607061742.5293357,8.03959584236145
76,1607061742.0852592,1607061746.1272075,4.041948318481445
74,1607061739.224965,1607061747.257371,8.032405853271484
75,1607061740.1725273,1607061748.217015,8.044487714767456
77,1607061743.5574744,1607061748.6078274,5.050353050231934
78,1607061743.9445791,1607061751.0720234,7.127444267272949
81,1607061746.00943,1607061752.0364137,6.026983737945557
79,1607061744.9075482,1607061752.9368958,8.029347658157349
80,1607061745.2835371,1607061753.3414772,8.057940006256104
82,1607061747.922372,1607061753.989599,6.067226886749268
83,1607061748.808772,1607061754.977322,6.16855001449585
84,1607061750.247332,1607061757.2806802,7.033348083496094
85,1607061751.2304907,1607061757.4596095,6.229118824005127
89,1607061752.9492347,1607061759.371818,6.422583341598511
86,1607061751.272537,1607061759.372414,8.099877119064331
90,1607061753.9690957,1607061759.3785553,5.409459590911865
88,1607061752.4966433,1607061760.0174751,7.520831823348999
87,1607061752.3310664,1607061760.4502916,8.119225263595581
92,1607061754.9107006,1607061761.1016743,6.19097375869751
94,1607061755.497004,1607061761.3011458,5.8041417598724365
95,1607061756.427651,1607061761.6447942,5.217143297195435
91,1607061754.2482967,1607061762.3082304,8.05993366241455
96,1607061757.1174872,1607061762.443062,5.32557487487793
93,1607061755.262224,1607061763.4062266,8.144002676010132
98,1607061759.6925886,1607061765.3152754,5.622686862945557
97,1607061759.133923,1607061767.1707792,8.036856174468994
99,1607061760.2093217,1607061768.4930573,8.283735513687134
