WorkerID,taskID,startTime,endTime,TaskCompletionTime
1,14_M0,1607057762.0236857,1607057766.1049995,4.081313848495483
2,12_R0,1607057763.0986185,1607057766.135517,3.036898374557495
2,16_M1,1607057763.0989895,1607057766.1362295,3.0372400283813477
2,19_M0,1607057764.8383298,1607057766.89523,2.0569002628326416
1,20_M1,1607057766.0030644,1607057767.0242891,1.0212247371673584
1,19_M3,1607057765.020262,1607057767.0377421,2.0174801349639893
2,18_M0,1607057764.0227726,1607057767.0435948,3.020822286605835
1,17_M1,1607057764.0223944,1607057767.0698173,3.0474228858947754
2,16_M2,1607057763.0992303,1607057767.1420333,4.042803049087524
2,15_R1,1607057766.8956337,1607057768.01915,1.123516321182251
3,11_R0,1607057763.9230871,1607057768.020064,4.09697699546814
1,17_R0,1607057767.0703707,1607057768.101808,1.0314373970031738
3,10_R0,1607057764.1151981,1607057768.1242445,4.009046316146851
2,13_R0,1607057764.8388076,1607057768.8711898,4.032382249832153
2,19_M2,1607057764.9835508,1607057769.0163121,4.032761335372925
2,22_M0,1607057768.0194476,1607057769.0394518,1.0200042724609375
1,21_M1,1607057767.0378146,1607057769.0908797,2.053065061569214
1,20_M2,1607057766.105151,1607057769.1383572,3.0332062244415283
3,20_M0,1607057765.969657,1607057770.0503461,4.080689191818237
2,19_R0,1607057769.0170841,1607057770.0877123,1.0706281661987305
1,15_R0,1607057766.00333,1607057770.0882242,4.084894180297852
2,14_R0,1607057766.1370745,1607057770.2438219,4.106747388839722
2,14_R1,1607057766.1384916,1607057770.2513902,4.112898588180542
2,16_R0,1607057768.019382,1607057771.0589721,3.0395901203155518
1,21_M0,1607057767.0243506,1607057771.0611103,4.036759614944458
2,18_R0,1607057767.04404,1607057771.061552,4.017512083053589
1,21_M2,1607057767.0699074,1607057771.074668,4.004760503768921
3,24_M0,1607057768.1246529,1607057771.1274476,3.0027947425842285
2,21_M3,1607057767.1420908,1607057771.1474502,4.005359411239624
2,26_M0,1607057770.2441492,1607057771.2838163,1.0396671295166016
2,26_M1,1607057770.2514937,1607057771.29578,1.0442862510681152
3,23_M0,1607057768.021373,1607057772.051189,4.029815912246704
2,24_M1,1607057769.0172212,1607057772.0523062,3.0350849628448486
2,20_R1,1607057771.0619338,1607057772.091597,1.029663324356079
1,25_M3,1607057770.0887008,1607057772.0919893,2.003288507461548
2,25_M2,1607057770.0884538,1607057772.0935955,2.0051417350769043
1,25_M0,1607057769.0910318,1607057772.129274,3.0382421016693115
2,22_R1,1607057770.2440226,1607057772.2686245,2.024601936340332
2,27_M1,1607057771.4746015,1607057772.4820573,1.007455825805664
3,25_M1,1607057770.0505342,1607057773.0577815,3.00724720954895
2,28_M1,1607057772.0524843,1607057773.065135,1.012650728225708
3,28_M0,1607057772.051254,1607057773.0686638,1.0174098014831543
1,26_M2,1607057771.063738,1607057773.069965,2.0062267780303955
1,22_R0,1607057769.0930955,1607057773.096208,4.003112554550171
2,24_R0,1607057772.0921574,1607057773.0994802,1.0073227882385254
2,21_R0,1607057771.1478477,1607057773.1608977,2.013050079345703
2,25_R1,1607057773.0595295,1607057774.0666633,1.0071337223052979
3,28_R0,1607057773.0694985,1607057774.0711553,1.0016567707061768
2,20_R0,1607057770.2453363,1607057774.2586577,4.013321399688721
3,27_M0,1607057771.474336,1607057774.476206,3.0018701553344727
2,29_M0,1607057773.6793911,1607057774.6863966,1.0070054531097412
3,23_R0,1607057772.051932,1607057775.071333,3.0194008350372314
2,26_R0,1607057773.0702815,1607057775.07263,2.0023484230041504
1,24_R1,1607057772.0924137,1607057775.0947342,3.0023205280303955
1,21_R1,1607057771.148281,1607057775.1514401,4.003159046173096
2,29_M1,1607057773.679681,1607057775.690318,2.010637044906616
1,25_R0,1607057773.0591428,1607057776.060585,3.0014421939849854
2,29_M2,1607057773.679863,1607057776.6862888,3.0064258575439453
2,29_R0,1607057776.686666,1607057777.68845,1.001784086227417
2,27_R0,1607057774.4767396,1607057778.4807272,4.003987550735474
1,27_R1,1607057774.4770818,1607057778.5087142,4.031632423400879
2,29_R1,1607057776.6869283,1607057780.6915343,4.004606008529663
