WorkerID,taskID,startTime,endTime,TaskCompletionTime
1,49_R0,1607059501.9765134,1607059502.990282,1.0137686729431152
2,48_M2,1607059499.9825182,1607059502.9928522,3.010334014892578
1,45_R1,1607059502.0129733,1607059503.0294776,1.0165042877197266
1,47_R0,1607059501.0349267,1607059503.065296,2.030369281768799
2,51_M0,1607059502.6439872,1607059503.6521797,1.008192539215088
3,52_M1,1607059502.7081592,1607059503.72991,1.0217506885528564
2,48_M0,1607059499.981496,1607059503.9868171,4.005321025848389
2,45_R0,1607059502.0096247,1607059504.0178614,2.0082366466522217
2,52_M0,1607059502.707833,1607059504.7129502,2.005117177963257
2,50_M0,1607059501.7595332,1607059504.770982,3.011448860168457
3,46_R1,1607059501.00966,1607059505.0155852,4.005925178527832
1,53_M1,1607059503.1728017,1607059505.3763952,2.2035934925079346
2,55_M0,1607059504.2434285,1607059506.2485898,2.0051612854003906
1,54_M2,1607059503.2006154,1607059506.264759,3.064143657684326
3,56_M0,1607059505.2927234,1607059506.3035798,1.0108563899993896
1,54_M0,1607059503.1997554,1607059506.3799083,3.1801528930664062
1,51_M1,1607059502.6444094,1607059506.655502,4.011092662811279
3,50_R1,1607059504.7731385,1607059506.783404,2.010265588760376
2,48_R0,1607059503.9874122,1607059507.008526,3.021113872528076
2,54_M1,1607059503.2002027,1607059507.2433145,4.043111801147461
3,55_M2,1607059504.2437975,1607059507.2795622,3.035764694213867
1,53_M0,1607059503.172546,1607059507.30857,4.136023998260498
1,56_M2,1607059506.2985303,1607059507.3169866,1.018456220626831
2,52_R0,1607059504.7142708,1607059507.7248442,3.010573387145996
1,54_R1,1607059507.2515507,1607059508.2566319,1.0050811767578125
2,54_R0,1607059507.2500021,1607059508.266636,1.0166337490081787
2,55_M1,1607059504.2436476,1607059508.2876081,4.0439605712890625
2,55_M3,1607059504.2454634,1607059508.3122346,4.0667712688446045
3,58_M2,1607059507.6563582,1607059508.6687186,1.0123603343963623
2,52_R1,1607059504.7148395,1607059508.7261577,4.011318206787109
2,50_R0,1607059504.7725034,1607059508.7840338,4.01153039932251
1,56_M1,1607059506.2942564,1607059509.3036666,3.0094101428985596
1,51_R0,1607059506.65894,1607059509.6698778,3.0109376907348633
2,58_M1,1607059507.6547525,1607059509.6882505,2.0334980487823486
2,59_M1,1607059509.0930061,1607059510.1905777,1.097571611404419
2,55_R1,1607059508.3166187,1607059510.3380194,2.0214006900787354
3,57_M0,1607059506.844898,1607059510.855894,4.010996103286743
2,59_M2,1607059509.093152,1607059511.1670544,2.0739023685455322
1,59_M3,1607059510.1608756,1607059511.170161,1.0092854499816895
3,53_R0,1607059507.3165627,1607059511.3213832,4.0048205852508545
1,53_R1,1607059507.3208039,1607059511.3340082,4.013204336166382
1,58_M0,1607059507.6544352,1607059511.6684415,4.0140063762664795
1,60_M1,1607059510.1617305,1607059512.1743135,2.012583017349243
1,61_M1,1607059511.201988,1607059512.207659,1.0056710243225098
3,61_M3,1607059511.202445,1607059512.214564,1.0121190547943115
2,60_M2,1607059510.1619456,1607059512.2306657,2.0687201023101807
2,55_R0,1607059508.3149197,1607059512.317901,4.002981185913086
1,56_R0,1607059509.3218768,1607059512.370089,3.0482122898101807
2,59_M0,1607059509.0927436,1607059513.1500494,4.057305812835693
2,60_M0,1607059510.1613696,1607059513.173973,3.012603521347046
1,58_R0,1607059511.6696775,1607059513.6784754,2.0087978839874268
1,59_R1,1607059513.1581197,1607059514.1622052,1.0040855407714844
1,62_M0,1607059512.205555,1607059514.2132132,2.0076582431793213
3,62_M2,1607059512.206274,1607059514.219325,2.0130510330200195
2,57_R0,1607059510.8567238,1607059514.861349,4.00462532043457
2,59_R0,1607059513.157339,1607059515.1782649,2.020925760269165
3,61_M0,1607059511.201659,1607059515.2123294,4.01067042350769
2,60_M3,1607059511.200979,1607059515.2524734,4.051494359970093
2,61_M2,1607059511.202143,1607059515.2538106,4.0516676902771
2,63_M3,1607059513.2506104,1607059515.2681653,2.017554998397827
1,64_M1,1607059514.252896,1607059515.2704341,1.017538070678711
1,64_M2,1607059514.2535107,1607059515.3071132,1.0536024570465088
1,62_M1,1607059512.206046,1607059516.217419,4.011372804641724
2,63_M1,1607059512.2491386,1607059516.2529159,4.003777265548706
3,63_M2,1607059512.249409,1607059516.2572234,4.007814407348633
1,63_M0,1607059512.248805,1607059516.2577815,4.008976459503174
2,64_M0,1607059513.2514122,1607059516.2663138,3.014901638031006
2,63_R0,1607059516.258351,1607059517.2633276,1.004976511001587
2,60_R0,1607059515.2532725,1607059517.269493,2.0162205696105957
2,64_R0,1607059516.2674735,1607059517.2826562,1.0151827335357666
2,61_R1,1607059515.264113,1607059517.3218558,2.0577428340911865
1,65_M0,1607059515.5217254,1607059517.5399668,2.0182414054870605
3,67_M0,1607059516.8390672,1607059517.8414567,1.0023894309997559
1,66_M0,1607059516.4919367,1607059518.5026,2.0106632709503174
2,66_M1,1607059516.4922125,1607059518.515679,2.0234663486480713
2,61_R0,1607059515.2553632,1607059519.2731931,4.017829895019531
2,66_R0,1607059518.516526,1607059519.528271,1.0117449760437012
1,65_M1,1607059515.5220015,1607059519.5465484,4.02454686164856
2,68_M1,1607059517.7771697,1607059519.8123677,2.0351979732513428
1,62_R0,1607059516.222873,1607059520.2298443,4.00697135925293
3,63_R1,1607059516.2593694,1607059520.2667096,4.0073401927948
1,65_R1,1607059519.548777,1607059520.5566192,1.0078420639038086
1,67_M1,1607059516.8393714,1607059520.8490398,4.009668350219727
2,67_M2,1607059516.839604,1607059520.8505256,4.0109217166900635
1,66_R1,1607059518.5170393,1607059521.5229683,3.0059289932250977
2,65_R0,1607059519.5472462,1607059521.5772932,2.0300469398498535
2,69_M0,1607059519.5913007,1607059521.6088085,2.017507791519165
1,70_M2,1607059520.7028167,1607059521.7573197,1.0545029640197754
2,70_M3,1607059520.7030568,1607059521.757795,1.0547382831573486
2,68_M0,1607059517.7768896,1607059521.7836618,4.00677227973938
2,68_M2,1607059517.777367,1607059521.8060205,4.028653383255005
2,68_R0,1607059521.8193126,1607059522.8538163,1.034503698348999
1,71_M3,1607059522.1087346,1607059523.1213918,1.0126571655273438
